method,param_value,recon_rmse
pull,0.1,0.6276942636961975
push,0.1,1.7478701414005011
pull,0.5,0.6137902308789259
push,0.5,0.6553279680736216
pull,1.0,1.2339196109345911
push,1.0,0.42604008122868864
