Run,Method,Accuracy_pct,Packets_pct,Missed_pct,Mean_AOII
1,Pull,77.61761761761761,16.650000000000002,22.555555555555557,1.3582582582582583
1,Push,97.79446112779446,9.926666666666668,0.0,0.024424424424424423
2,Pull,77.34067400734067,16.650000000000002,21.27777777777778,1.308908908908909
2,Push,97.79446112779446,9.926666666666668,0.0,0.024424424424424423
3,Pull,78.26826826826827,16.650000000000002,20.38888888888889,1.060960960960961
3,Push,97.79446112779446,9.926666666666668,0.0,0.024424424424424423
4,Pull,77.50083416750083,16.650000000000002,19.055555555555557,1.277510844177511
4,Push,97.79446112779446,9.926666666666668,0.0,0.024424424424424423
5,Pull,77.18718718718719,16.650000000000002,21.61111111111111,1.2881214547881215
5,Push,97.79446112779446,9.926666666666668,0.0,0.024424424424424423
6,Pull,77.9713046379713,16.650000000000002,19.27777777777778,1.1942609275942608
6,Push,97.79446112779446,9.926666666666668,0.0,0.024424424424424423
7,Pull,77.77444110777444,16.650000000000002,20.38888888888889,1.2205205205205205
7,Push,97.79446112779446,9.926666666666668,0.0,0.024424424424424423
8,Pull,77.33733733733735,16.650000000000002,23.166666666666664,1.2925592258925591
8,Push,97.79446112779446,9.926666666666668,0.0,0.024424424424424423
9,Pull,77.05038371705038,16.650000000000002,22.944444444444446,1.3585919252585918
9,Push,97.79446112779446,9.926666666666668,0.0,0.024424424424424423
10,Pull,77.56756756756756,16.650000000000002,23.166666666666664,1.3421755088421754
10,Push,97.79446112779446,9.926666666666668,0.0,0.024424424424424423
MEAN,Push,97.79446112779446,9.926666666666666,0.0,0.02442442442442442
MEAN,Pull,77.56156156156158,16.650000000000002,21.383333333333333,1.2701868535201868
