density,alpha,pull_reward,push_reward,difference
0.1,1.0,-0.050923656721187434,-0.006179271164400791,-0.04474438555678664
0.1,2.0,-0.10184731344237487,-0.012358542328801582,-0.08948877111357328
0.1,3.0,-0.15277097016356167,-0.018537813493202368,-0.1342331566703593
0.1,4.0,-0.20369462688474974,-0.024717084657603163,-0.17897754222714657
0.1,5.0,-0.2546182836059351,-0.03089635582200395,-0.22372192778393113
0.3,1.0,-0.2280749806070571,-0.30418306990632016,0.07610808929926305
0.3,2.0,-0.4561499612141142,-0.6083661398126403,0.1522161785985261
0.3,3.0,-0.6850404263697163,-0.91254920971898,0.22750878334926372
0.3,4.0,-0.9122999224282284,-1.2167322796252806,0.3044323571970522
0.3,5.0,-1.1403749030352976,-1.5209153495316219,0.38054044649632424
0.5,1.0,-0.8730310737260643,-1.5017747022510861,0.6287436285250219
0.5,2.0,-1.7460621474521285,-3.0035494045021722,1.2574872570500437
0.5,3.0,-2.6313254894063216,-4.505324106753323,1.8739986173470018
0.5,4.0,-3.492124294904257,-6.0070988090043445,2.5149745141000874
0.5,5.0,-4.368027078829431,-7.508873511255404,3.140846432425973
0.7,1.0,-1.5006116220613326,-2.1566680171173767,0.6560563950560441
0.7,2.0,-3.001223244122665,-4.313336034234753,1.3121127901120881
0.7,3.0,-4.563174212782732,-6.4700040513521255,1.9068298385693936
0.7,4.0,-6.00244648824533,-8.626672068469507,2.6242255802241763
0.7,5.0,-7.495277331004091,-10.78334008558688,3.288062754582789
0.9,1.0,-1.898752481275646,-2.4041311965728567,0.5053787152972107
0.9,2.0,-3.797504962551292,-4.808262393145713,1.0107574305944214
0.9,3.0,-5.705061174095309,-7.21239358971854,1.5073324156232308
0.9,4.0,-7.595009925102584,-9.616524786291427,2.0215148611888427
0.9,5.0,-9.576487383310061,-12.020655982864282,2.444168599554221
