method,param_value,M,tx_rate,compression,recon_rmse,push_tx_rmse_z_minus_x1,attempts,successes,collisions,succ_given_attempt,coll_given_attempt
pull,0.1,5,0.035616666666666665,0.9643833333333334,0.6276942636961975,,,,,,
push,0.1,5,0.0599,0.9401,1.7478701414005011,0.03245796463089813,7298.0,3594.0,3704.0,0.49246368868183066,0.5075363113181693
pull,0.5,5,0.01435,0.98565,0.6137902308789259,,,,,,
push,0.5,5,0.0526,0.9474,0.6553279680736216,0.04899350882977235,5349.0,3156.0,2193.0,0.5900168255748738,0.4099831744251262
pull,1.0,5,0.008,0.992,1.2339196109345911,,,,,,
push,1.0,5,0.029316666666666668,0.9706833333333333,0.42604008122868864,0.049204641474928444,2265.0,1759.0,506.0,0.7766004415011037,0.22339955849889626
