Method,Accuracy_pct,Packets_pct,Missed_pct,Mean_AOII
PlainQ,68.45845845845847,9.99,45.22222222222222,3.4779112445779115
WIQL-Adapt,69.76976976976978,9.99,33.666666666666664,1.9928595261928594
WIQL-UCB,59.683016349683015,9.99,45.77777777777778,5.1267267267267265
